source,title,authors,year,published,abstract,url,query
arXiv,Human-Robot collaboration in surgery: Advances and challenges towards autonomous surgical assistants,Jacinto Colan; Ana Davila; Yutaro Yamada; Yasuhisa Hasegawa,2025,2025-07-15,"Human-robot collaboration in surgery represents a significant area of research, driven by the increasing capability of autonomous robotic systems to assist surgeons in complex procedures. This systematic review examines the advancements and persistent challenges in the development of autonomous surgical robotic assistants (ASARs), focusing specifically on scenarios where robots provide meaningful and active support to human surgeons. Adhering to the PRISMA guidelines, a comprehensive literature ",http://arxiv.org/abs/2507.11460v1,human robot handover speed safety assembly
arXiv,YCB-Handovers Dataset: Analyzing Object Weight Impact on Human Handovers to Adapt Robotic Handover Motion,Parag Khanna; Karen Jane Dsouza; Chunyu Wang; Mårten Björkman; Christian Smith,2025,2025-12-23,"This paper introduces the YCB-Handovers dataset, capturing motion data of 2771 human-human handovers with varying object weights. The dataset aims to bridge a gap in human-robot collaboration research, providing insights into the impact of object weight in human handovers and readiness cues for intuitive robotic motion planning. The underlying dataset for object recognition and tracking is the YCB (Yale-CMU-Berkeley) dataset, which is an established standard dataset used in algorithms for roboti",http://arxiv.org/abs/2512.20847v1,human robot handover speed safety assembly
arXiv,Enabling Intuitive Human-Robot Teaming Using Augmented Reality and Gesture Control,Jason M. Gregory; Christopher Reardon; Kevin Lee; Geoffrey White; Ki Ng et al.,2019,2019-09-13,"Human-robot teaming offers great potential because of the opportunities to combine strengths of heterogeneous agents. However, one of the critical challenges in realizing an effective human-robot team is efficient information exchange - both from the human to the robot as well as from the robot to the human. In this work, we present and analyze an augmented reality-enabled, gesture-based system that supports intuitive human-robot teaming through improved information exchange. Our proposed system",http://arxiv.org/abs/1909.06415v1,human robot handover speed safety assembly
arXiv,Kinematically Constrained Human-like Bimanual Robot-to-Human Handovers,Yasemin Göksu; Antonio De Almeida Correia; Vignesh Prasad; Alap Kshirsagar; Dorothea Koert et al.,2024,2024-02-22,"Bimanual handovers are crucial for transferring large, deformable or delicate objects. This paper proposes a framework for generating kinematically constrained human-like bimanual robot motions to ensure seamless and natural robot-to-human object handovers. We use a Hidden Semi-Markov Model (HSMM) to reactively generate suitable response trajectories for a robot based on the observed human partner's motion. The trajectories are adapted with task space constraints to ensure accurate handovers. Re",http://arxiv.org/abs/2402.14525v1,human robot handover speed safety assembly
arXiv,Learning-based Dynamic Robot-to-Human Handover,Hyeonseong Kim; Chanwoo Kim; Matthew Pan; Kyungjae Lee; Sungjoon Choi,2025,2025-02-18,"This paper presents a novel learning-based approach to dynamic robot-to-human handover, addressing the challenges of delivering objects to a moving receiver. We hypothesize that dynamic handover, where the robot adjusts to the receiver's movements, results in more efficient and comfortable interaction compared to static handover, where the receiver is assumed to be stationary. To validate this, we developed a nonparametric method for generating continuous handover motion, conditioned on the rece",http://arxiv.org/abs/2502.12602v1,human robot handover speed safety assembly
arXiv,Characterizing Input Methods for Human-to-robot Demonstrations,Pragathi Praveena; Guru Subramani; Bilge Mutlu; Michael Gleicher,2019,2019-01-31,"Human demonstrations are important in a range of robotics applications, and are created with a variety of input methods. However, the design space for these input methods has not been extensively studied. In this paper, focusing on demonstrations of hand-scale object manipulation tasks to robot arms with two-finger grippers, we identify distinct usage paradigms in robotics that utilize human-to-robot demonstrations, extract abstract features that form a design space for input methods, and charac",http://arxiv.org/abs/1902.00084v1,human robot handover speed safety assembly
arXiv,Data-driven Grip Force Variation in Robot-Human Handovers,Parag Khanna; Mårten Björkman; Christian Smith,2023,2023-03-28,"Handovers frequently occur in our social environments, making it imperative for a collaborative robotic system to master the skill of handover. In this work, we aim to investigate the relationship between the grip force variation for a human giver and the sensed interaction force-torque in human-human handovers, utilizing a data-driven approach. A Long-Short Term Memory (LSTM) network was trained to use the interaction force-torque in a handover to predict the human grip force variation in advan",http://arxiv.org/abs/2303.16009v1,human robot handover speed safety assembly
arXiv,Exploring Large Language Models to Facilitate Variable Autonomy for Human-Robot Teaming,Younes Lakhnati; Max Pascher; Jens Gerken,2023,2023-12-12,"In a rapidly evolving digital landscape autonomous tools and robots are becoming commonplace. Recognizing the significance of this development, this paper explores the integration of Large Language Models (LLMs) like Generative pre-trained transformer (GPT) into human-robot teaming environments to facilitate variable autonomy through the means of verbal human-robot communication. In this paper, we introduce a novel framework for such a GPT-powered multi-robot testbed environment, based on a Unit",http://arxiv.org/abs/2312.07214v3,human robot handover speed safety assembly
arXiv,Task-Oriented Robot-Human Handovers on Legged Manipulators,Andreea Tulbure; Carmen Scheidemann; Elias Steiner; Marco Hutter,2026,2026-02-05,"Task-oriented handovers (TOH) are fundamental to effective human-robot collaboration, requiring robots to present objects in a way that supports the human's intended post-handover use. Existing approaches are typically based on object- or task-specific affordances, but their ability to generalize to novel scenarios is limited. To address this gap, we present AFT-Handover, a framework that integrates large language model (LLM)-driven affordance reasoning with efficient texture-based affordance tr",http://arxiv.org/abs/2602.05760v2,human robot handover speed safety assembly
arXiv,Effect of Human Involvement on Work Performance and Fluency in Human-Robot Collaboration for Recycling,Sruthi Ramadurai; Heejin Jeong,2022,2022-01-20,"Human-robot collaboration has significant potential in recycling due to the wide variation in the composition of recyclable products. Six participants performed a recyclable item sorting task collaborating with a robot arm equipped with a vision system. The effect of three different levels of human involvement or assistance to the robot (Level 1- occlusion removal; Level 2- optimal spacing; Level 3- optimal grip) on performance metrics such as robot accuracy, task time and subjective fluency wer",http://arxiv.org/abs/2201.07990v1,human robot handover speed safety assembly
